rating,opponent,result,colour,timestamp
1200.0,no opponent,0.0,no colour,beginning of time
1220.0,dean,1.0,white,2025-08-02 14:18:33.792304
1240.0,frankie,1.0,black,2025-08-02 19:58:33.921632
1258.0,eve,1.0,white,2025-08-02 20:20:34.439972
1234,eve,0.0,white,2025-08-03 14:56:37.625493
1252,eve,1.0,white,2025-08-03 19:17:04.784408
1268,eve,1.0,white,2025-08-03 19:17:08.609883
1283,eve,1.0,black,2025-08-05 12:45:43.764770
1296,eve,1.0,black,2025-08-05 12:45:46.238153
1308,eve,1.0,black,2025-08-05 12:45:47.997976
1324,frankie,1.0,white,2025-08-06 16:51:29.475194
